"word","pos"
"abandon","VERB"
"abandon","NOUN"
"ability","NOUN"
"able","ADJ"
"able","NOUN"
"abortion","NOUN"
"about","PREP"
"about","ADV"
"about","ADJ"
"above","PREP"
"above","ADV"
"above","NOUN"
"above","ADJ"
"abroad","ADV"
"absence","NOUN"
"absolutely","ADV"
"absolute","ADJ"
"absolute","NOUN"
"absorb","VERB"
"abuse","VERB"
"abuse","NOUN"
"academic","ADJ"
"academic","NOUN"
"accept","VERB"
"access","NOUN"
"access","VERB"
"accident","NOUN"
"accompany","VERB"
"accomplish","VERB"
"according","ADJ"
"account","NOUN"
"account","VERB"
"accurate","ADJ"
"accuse","VERB"
"achievement","NOUN"
"achieve","VERB"
"acknowledge","VERB"
"acquire","VERB"
"across","PREP"
"across","ADV"
"action","NOUN"
"action","INTER"
"active","ADJ"
"active","NOUN"
"activist","NOUN"
"activity","NOUN"
"actor","NOUN"
"actress","NOUN"
"actually","ADV"
"actual","ADJ"
"act","NOUN"
"act","VERB"
"adapt","VERB"
"additional","ADJ"
"addition","NOUN"
"address","NOUN"
"address","VERB"
"add","VERB"
"adequate","ADJ"
"adjustment","NOUN"
"adjust","VERB"
"administration","NOUN"
"administrator","NOUN"
"admire","VERB"
"admission","NOUN"
"admit","VERB"
"adolescent","ADJ"
"adolescent","NOUN"
"adopt","VERB"
"adult","ADJ"
"adult","NOUN"
"advanced","ADJ"
"advance","VERB"
"advance","NOUN"
"advantage","NOUN"
"advantage","VERB"
"adventure","NOUN"
"adventure","VERB"
"advertising","NOUN"
"advice","NOUN"
"adviser","NOUN"
"advise","VERB"
"advocate","VERB"
"advocate","NOUN"
"affair","NOUN"
"affect","VERB"
"affect","NOUN"
"afford","VERB"
"afraid","ADJ"
"afternoon","NOUN"
"after","PREP"
"after","ADV"
"after","CONJ"
"after","ADJ"
"against","PREP"
"again","ADV"
"agency","NOUN"
"agenda","NOUN"
"agent","NOUN"
"age","NOUN"
"age","VERB"
"aggressive","ADJ"
"ago","ADV"
"agreement","NOUN"
"agree","VERB"
"agricultural","ADJ"
"ahead","ADV"
"ah","INTER"
"ah","NOUN"
"aide","NOUN"
"aid","NOUN"
"aid","VERB"
"aim","VERB"
"aim","NOUN"
"aircraft","NOUN"
"airline","NOUN"
"airport","NOUN"
"air","NOUN"
"air","VERB"
"album","NOUN"
"alcohol","NOUN"
"alive","ADJ"
"alliance","NOUN"
"allow","VERB"
"ally","NOUN"
"ally","VERB"
"all","DEFAR"
"all","ADV"
"all","NOUN"
"almost","ADV"
"alone","ADV"
"along","PREP"
"along","ADV"
"already","ADV"
"also","NOUN"
"also","ADV"
"alter","VERB"
"although","CONJ"
"always","ADV"
"amazing","ADJ"
"among","PREP"
"amount","NOUN"
"amount","VERB"
"analysis","NOUN"
"analyst","NOUN"
"ancient","ADJ"
"ancient","NOUN"
"and","CONJ"
"and","NOUN"
"anger","NOUN"
"anger","VERB"
"angle","NOUN"
"angle","VERB"
"angry","ADJ"
"announce","VERB"
"annual","ADJ"
"annual","NOUN"
"another","DEFAR"
"answer","NOUN"
"answer","VERB"
"anticipate","VERB"
"anxiety","NOUN"
"anybody","PRO"
"anybody","NOUN"
"anyone","PRO"
"anything","PRO"
"anything","NOUN"
"anything","ADV"
"anyway","ADV"
"anywhere","ADV"
"any","DEFAR"
"any","ADV"
"apartment","NOUN"
"apart","ADV"
"apparently","ADV"
"apparent","ADJ"
"appeal","NOUN"
"appeal","VERB"
"appearance","NOUN"
"appear","VERB"
"apple","NOUN"
"application","NOUN"
"apply","VERB"
"appointment","NOUN"
"appoint","VERB"
"appreciate","VERB"
"approach","VERB"
"approach","NOUN"
"appropriate","ADJ"
"appropriate","VERB"
"approval","NOUN"
"approve","VERB"
"approximately","ADV"
"architect","NOUN"
"area","NOUN"
"argue","VERB"
"argument","NOUN"
"arise","VERB"
"armed","ADJ"
"army","NOUN"
"arm","NOUN"
