title,lyrics
Creep,"When you were here before. Couldn't look you in the eye. You're just like an angel. Your skin makes me cry. You float like a feather. In a beautiful world. I wish I was special. You're so fuckin' special. But I'm a creep. I'm a weirdo. What the hell am I doing here?. I don't belong here. I don't care if it hurts. I wanna have control. I want a perfect body. I want a perfect soul. I want you to notice. When I'm not around. You're so fuckin' special. I wish I was special. But I'm a creep. I'm a weirdo. What the hell am I doing here?. I don't belong here. Oh, oh. She's running out the door. She's running out. She run, run, run, run. Run. Whatever makes you happy. Whatever you want. You're so fuckin' special. I wish I was special. But I'm a creep. I'm a weirdo. What the hell am I doing here?. I don't belong here. I don't belong here"
Karma Police,"Karma police, arrest this man. He talks in maths, he buzzes like a fridge. He's like a detuned radio. Karma police, arrest this girl. Her Hitler hairdo is making me feel ill. And we have crashed her party. This is what you'll get. This is what you'll get. This is what you'll get. When you mess with us. Karma police, I've given all I can. It's not enough, I've given all I can. But we're still on the payroll. This is what you'll get. This is what you'll get. This is what you'll get. When you mess with us. For a minute there. I lost myself, I lost myself. Phew, for a minute there. I lost myself, I lost myself. For a minute there. I lost myself, I lost myself. Phew, for a minute there. I lost myself, I lost myself"
No Surprises,"A heart that's full up like a landfill. A job that slowly kills you. Bruises that won't heal. You look so tired, unhappy. Bring down the government. They don't, they don't speak for us. I'll take a quiet life. A handshake of carbon monoxide. And no alarms and no surprises. No alarms and no surprises. No alarms and no surprises. Silent, silent. This is my final fit. My final bellyache with. No alarms and no surprises. No alarms and no surprises. No alarms and no surprises, please. Such a pretty house. And such a pretty garden. No alarms and no surprises. (Get me out of here). No alarms and no surprises. (Get me out of here). No alarms and no surprises, please. (Get me out of here)Related SongsLuckyRadioheadClimbing up the WallsRadioheadCreepRadiohead"
Paranoid Android,"Please, could you stop the noise?. I'm trying to get some rest. From all the unborn chicken voices. In my head. What's that?. (I may be paranoid, but not an android). What's that?. (I may be paranoid, but not an android). When I am king. You will be first against the wall. With your opinion. Which is of no consequence at all. What's that?. (I may be paranoid, but no android). What's that?. (I may be paranoid, but no android). Ambition makes you look pretty ugly. Kicking, squealing, Gucci little piggy. You don't remember, you don't remember. Why don't you remember my name?. Off with his head, man, off with his head, man. Why don't you remember my name?. I guess he does. Rain down, rain down. Come on, rain down on me. From a great height. From a great height, height. Rain down, rain down. Come on, rain down on me. From a great height. From a great height, height. That's it, sir, you're leaving (Rain down). The crackle of pigskin (Rain down). The dust and the screaming (Come on, rain down). The yuppies networking (On me). The panic, the vomit (From a great height). The panic, the vomit (From a great height). God loves his children. God loves his children, yeah"
Exit Music (For A Film),"Wake from your sleep. The drying of your tears. Today we escape, we escape. Pack and get dressed. Before your father hears us. Before all hell breaks loose. Breathe, keep breathing. Don't lose your nerve. Breathe, keep breathing. I can't do this alone. Sing us a song. A song to keep us warm. There's such a chill. Such a chill. And you can laugh a spineless laugh. We hope your rules and wisdom choke you. Now we are one in everlasting peace. We hope that you choke, that you choke. We hope that you choke. That you choke. We hope that you choke. That you choke"
Fake Plastic Trees,A green plastic watering can. For a fake Chinese rubber plant. In a fake plastic earth. That she bought from a rubber man. In a town full of rubber plants. To get rid of itself. It wears her out. It wears her out. It wears her out. It wears her out. She lives with a broken man. A cracked polystyrene man. Who just crumbles and burns. He used to do surgery. For girls in the eighties. But gravity always wins. And it wears him out. It wears him out. It wears him out. It wears. She looks like the real thing. She tastes like the real thing. My fake plastic love. But I can't help the feeling. I could blow through the ceiling. If I just turn and run. And it wears me out. It wears me out. It wears me out. It wears me out. And if I could be who you wanted. If I could be who you wanted. All the time. All the time
Daydreaming,Dreamers. They never learn. They never learn. Beyond the point. Of no return. Of no return. Then it's too late. The damage is done. The damage is done. This goes. Beyond me. Beyond you. A white room. By a window. Where the sun comes. Through. We are. Just happy to serve. Just happy to serve. You. ​efil ym fo flaH. ​efil ym fo flaH. ​efil ym fo flaH. ​efil ym fo flaH. ​efil ym fo flaH. ​efil ym fo flaH. ​efil ym fo flaH. ​efil ym fo flaH. ​efil ym fo flaH. ​efil ym fo flaH. ​efil ym fo flaH. ​efil ym fo flaH. ​efil ym fo flaH. ​efil ym fo flaH. ​efil ym fo flaH. ​efil ym fo flaH​​
True Love Waits,I'll drown my beliefs. To have your babies. I'll dress like your niece. And wash your swollen feet. Just don't leave. Don't leave. I'm not living. I'm just killing time. Your tiny hands. Your crazy kitten smile. Just don't leave. Don't leave. And true love waits. In haunted attics. And true love lives. On lollipops and crisps. Just don't leave. Don't leave
All I Need,"I'm the next act. Waiting in the wings. I'm an animal. Trapped in your hot car. I am all the days. That you choose to ignore. You are all I need. You're all I need. I'm in the middle of your picture. Lying in the reeds. I am a moth. Who just wants to share your light. I'm just an insect. Trying to get out of the night. I only stick with you. Because there are no others. You are all I need. You're all I need. I'm in the middle of your picture. Lying in the reeds. It's all wrong, it's all wrong, it's all wrong. It's all right,  it's all right,  it's all right. It's all wrong,  it's all right. It's all right,  it's all right"
How to Disappear Completely,"That there, that's not me. I go where I please. I walk through walls. I float down the Liffey. I'm not here. This isn't happening. I'm not here. I'm not here. In a little while. I'll be gone. The moment's already passed. Yeah, it's gone. And I'm not here. This isn't happening. I'm not here. I'm not here. Strobe lights and blown speakers. Fireworks and hurricanes. I'm not here. This isn't happening. I'm not here. I'm not here"
