bot,date,followers
RadioheadBot,2022-05-19,5
BoardgameBot,2022-05-19,6
ListBot,2022-05-19,300
RadioheadBot,2022-05-20,10
BoardgameBot,2022-05-20,5
RadioheadBot,2022-05-21,11
BoardgameBot,2022-05-21,5
ListBot,2022-05-21,301
RadioheadBot,2022-05-22,12
BoardgameBot,2022-05-22,5
ListBot,2022-05-22,303
RadioheadBot,2022-05-23,14
BoardgameBot,2022-05-23,6
ListBot,2022-05-23,303
RadioheadBot,2022-05-24,14
ListBot,2022-05-24,304
BoardgameBot,2022-05-24,6
RadioheadBot,2022-05-25,14
BoardgameBot,2022-05-25,7
GenreBot,2022-05-25,3
ListBot,2022-05-26,305
GenreBot,2022-05-26,3
RadioheadBot,2022-05-26,14
BoardgameBot,2022-05-26,7
RadioheadBot,2022-05-27,15
ListBot,2022-05-27,308
GenreBot,2022-05-27,4
BoardgameBot,2022-05-27,8
BoardgameBot,2022-05-28,8
RadioheadBot,2022-05-28,15
ListBot,2022-05-28,308
GenreBot,2022-05-28,6
ListBot,2022-05-29,310
BoardgameBot,2022-05-29,8
GenreBot,2022-05-29,6
RadioheadBot,2022-05-29,15
ListBot,2022-05-30,310
BoardgameBot,2022-05-30,7
GenreBot,2022-05-30,7
RadioheadBot,2022-05-30,16
BandNameBot,2022-05-31,6
GenreBot,2022-05-31,8
RadioheadBot,2022-05-31,18
ListBot,2022-05-31,311
BoardgameBot,2022-05-31,8
BoardgameBot,2022-06-01,8
RadioheadBot,2022-06-01,18
ListBot,2022-06-01,313
GenreBot,2022-06-01,8
BandNameBot,2022-06-01,9
ListBot,2022-06-02,314
RadioheadBot,2022-06-02,18
BoardgameBot,2022-06-02,8
BandNameBot,2022-06-02,9
GenreBot,2022-06-02,9
GenreBot,2022-06-03,10
BoardgameBot,2022-06-03,10
BandNameBot,2022-06-03,8
RadioheadBot,2022-06-03,21
ListBot,2022-06-03,318
RadioheadBot,2022-06-04,25
BoardgameBot,2022-06-04,10
GenreBot,2022-06-04,11
BandNameBot,2022-06-04,9
ListBot,2022-06-04,319
BoardgameBot,2022-06-05,10
ListBot,2022-06-05,318
RadioheadBot,2022-06-05,27
GenreBot,2022-06-05,12
BandNameBot,2022-06-05,11
GenreBot,2022-06-06,12
ListBot,2022-06-06,321
BandNameBot,2022-06-06,12
BoardgameBot,2022-06-06,11
RadioheadBot,2022-06-06,30
BoardgameBot,2022-06-07,12
GenreBot,2022-06-07,13
RadioheadBot,2022-06-07,35
ListBot,2022-06-07,321
BandNameBot,2022-06-07,15
BandNameBot,2022-06-08,19
RadioheadBot,2022-06-08,40
ListBot,2022-06-08,321
GenreBot,2022-06-08,14
BoardgameBot,2022-06-08,13
GenreBot,2022-06-09,13
RadioheadBot,2022-06-09,45
ListBot,2022-06-09,320
BoardgameBot,2022-06-09,18
BandNameBot,2022-06-09,22
BandNameBot,2022-06-10,26
BoardgameBot,2022-06-10,20
RadioheadBot,2022-06-10,49
GenreBot,2022-06-10,12
ListBot,2022-06-10,320
BandNameBot,2022-06-11,27
ListBot,2022-06-11,321
GenreBot,2022-06-11,12
RadioheadBot,2022-06-11,48
BoardgameBot,2022-06-11,21
BoardgameBot,2022-06-12,25
BandNameBot,2022-06-12,28
RadioheadBot,2022-06-12,48
GenreBot,2022-06-12,13
ListBot,2022-06-12,322
RadioheadBot,2022-06-13,52
BoardgameBot,2022-06-13,26
BandNameBot,2022-06-13,33
GenreBot,2022-06-13,15
ListBot,2022-06-13,324
BandNameBot,2022-06-14,36
GenreBot,2022-06-14,16
RadioheadBot,2022-06-14,52
BoardgameBot,2022-06-14,26
ListBot,2022-06-14,324
BandNameBot,2022-06-15,36
BoardgameBot,2022-06-15,26
ListBot,2022-06-15,323
GenreBot,2022-06-15,16
RadioheadBot,2022-06-15,59
ListBot,2022-06-16,323
BandNameBot,2022-06-16,37
GenreBot,2022-06-16,16
RadioheadBot,2022-06-16,63
RadioheadBot,2022-06-17,65
BoardgameBot,2022-06-17,31
BandNameBot,2022-06-17,40
ListBot,2022-06-17,325
GenreBot,2022-06-17,18
GenreBot,2022-06-18,19
BandNameBot,2022-06-18,39
ListBot,2022-06-18,324
BoardgameBot,2022-06-18,33
RadioheadBot,2022-06-18,68
BandNameBot,2022-06-19,41
RadioheadBot,2022-06-19,68
ListBot,2022-06-19,325
BoardgameBot,2022-06-19,34
GenreBot,2022-06-19,19
ListBot,2022-06-20,325
BandNameBot,2022-06-20,43
RadioheadBot,2022-06-20,72
GenreBot,2022-06-20,20
ListBot,2022-06-21,326
RadioheadBot,2022-06-21,73
GenreBot,2022-06-21,20
BandNameBot,2022-06-21,46
BoardgameBot,2022-06-21,32
BoardgameBot,2022-06-22,34
GenreBot,2022-06-22,20
ListBot,2022-06-22,325
BandNameBot,2022-06-22,49
RadioheadBot,2022-06-22,81
BoardgameBot,2022-06-23,39
GenreBot,2022-06-23,22
RadioheadBot,2022-06-23,87
BandNameBot,2022-06-23,52
ListBot,2022-06-23,326
BandNameBot,2022-06-24,51
BoardgameBot,2022-06-24,40
GenreBot,2022-06-24,22
RadioheadBot,2022-06-24,88
ListBot,2022-06-24,327
GenreBot,2022-06-25,22
BandNameBot,2022-06-25,54
BoardgameBot,2022-06-25,43
RadioheadBot,2022-06-25,90
ListBot,2022-06-25,330
BandNameBot,2022-06-26,59
GenreBot,2022-06-26,22
BoardgameBot,2022-06-26,47
RadioheadBot,2022-06-26,89
ListBot,2022-06-26,329
RadioheadBot,2022-06-27,93
ListBot,2022-06-27,331
BandNameBot,2022-06-27,62
GenreBot,2022-06-27,23
BoardgameBot,2022-06-27,49
BandNameBot,2022-06-28,65
GenreBot,2022-06-28,23
BoardgameBot,2022-06-28,50
ListBot,2022-06-28,333
RadioheadBot,2022-06-28,94
BandNameBot,2022-06-29,66
GenreBot,2022-06-29,23
ListBot,2022-06-29,335
BoardgameBot,2022-06-29,53
RadioheadBot,2022-06-29,100
ListBot,2022-06-30,335
BandNameBot,2022-06-30,68
RadioheadBot,2022-06-30,101
BoardgameBot,2022-06-30,57
GenreBot,2022-06-30,24
GenreBot,2022-07-01,24
BandNameBot,2022-07-01,72
ListBot,2022-07-01,334
RadioheadBot,2022-07-01,105
ListBot,2022-07-02,334
RadioheadBot,2022-07-02,108
BandNameBot,2022-07-02,75
GenreBot,2022-07-02,25
ListBot,2022-07-03,336
GenreBot,2022-07-03,27
BandNameBot,2022-07-03,75
RadioheadBot,2022-07-03,112
ListBot,2022-07-04,338
GenreBot,2022-07-04,27
BandNameBot,2022-07-04,78
ListBot,2022-07-05,340
BandNameBot,2022-07-05,79
GenreBot,2022-07-05,26
BoardgameBot,2022-07-05,60
RadioheadBot,2022-07-05,116
GenreBot,2022-07-06,27
BoardgameBot,2022-07-06,63
BandNameBot,2022-07-06,80
RadioheadBot,2022-07-06,119
ListBot,2022-07-06,343
